claim_a,claim_b,claim_b_strong,claim_ready_recomputed,crossing,crossing_dir,env,fail_g,note,pass_g,r_pass,r_strong,sweep_id,theta_lead,theta_rec
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.1,0.05,1,0.0,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.1,0.05,1,0.0,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.1,0.05,1,0.0,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.1,0.05,2,0.0,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.1,0.05,2,0.0,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.1,0.05,2,0.0,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.1,0.05,3,-0.05,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.1,0.05,3,-0.05,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.1,0.05,3,-0.05,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.1,0.05,4,-0.05,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.1,0.05,4,-0.05,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.1,0.05,4,-0.05,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.1,0.1,5,0.0,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.1,0.1,5,0.0,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.1,0.1,5,0.0,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.1,0.1,6,0.0,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.1,0.1,6,0.0,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.1,0.1,6,0.0,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.1,0.1,7,-0.05,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.1,0.1,7,-0.05,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.1,0.1,7,-0.05,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.1,0.1,8,-0.05,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.1,0.1,8,-0.05,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.1,0.1,8,-0.05,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.15,0.05,9,0.0,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.15,0.05,9,0.0,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.15,0.05,9,0.0,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.15,0.05,10,0.0,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.15,0.05,10,0.0,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.15,0.05,10,0.0,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.15,0.05,11,-0.05,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.15,0.05,11,-0.05,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.15,0.05,11,-0.05,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.15,0.05,12,-0.05,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.15,0.05,12,-0.05,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.15,0.05,12,-0.05,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.15,0.1,13,0.0,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.15,0.1,13,0.0,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.15,0.1,13,0.0,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.15,0.1,14,0.0,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.15,0.1,14,0.0,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.15,0.1,14,0.0,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.15,0.1,15,-0.05,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.15,0.1,15,-0.05,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.15,0.1,15,-0.05,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.15,0.1,16,-0.05,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.15,0.1,16,-0.05,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.15,0.1,16,-0.05,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.2,0.05,17,0.0,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.2,0.05,17,0.0,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.2,0.05,17,0.0,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.2,0.05,18,0.0,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.2,0.05,18,0.0,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.2,0.05,18,0.0,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.2,0.05,19,-0.05,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.2,0.05,19,-0.05,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.2,0.05,19,-0.05,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.2,0.05,20,-0.05,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.2,0.05,20,-0.05,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.2,0.05,20,-0.05,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.2,0.1,21,0.0,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.2,0.1,21,0.0,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.2,0.1,21,0.0,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.2,0.1,22,0.0,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.2,0.1,22,0.0,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.2,0.1,22,0.0,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.2,0.1,23,-0.05,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.2,0.1,23,-0.05,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.2,0.1,23,-0.05,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.2,0.1,24,-0.05,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.2,0.1,24,-0.05,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.2,0.1,24,-0.05,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.25,0.05,25,0.0,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.25,0.05,25,0.0,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.25,0.05,25,0.0,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.25,0.05,26,0.0,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.25,0.05,26,0.0,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.25,0.05,26,0.0,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.25,0.05,27,-0.05,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.25,0.05,27,-0.05,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.25,0.05,27,-0.05,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.25,0.05,28,-0.05,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.25,0.05,28,-0.05,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.25,0.05,28,-0.05,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.25,0.1,29,0.0,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.25,0.1,29,0.0,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.25,0.1,29,0.0,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.25,0.1,30,0.0,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.25,0.1,30,0.0,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.25,0.1,30,0.0,-0.05
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.25,0.1,31,-0.05,0.0
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.25,0.1,31,-0.05,0.0
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.25,0.1,31,-0.05,0.0
True,True,True,,True,down,EnvA_grid,0.75;1.0,,0.0;0.25;0.5,0.25,0.1,32,-0.05,-0.05
True,True,True,,True,up,EnvB_continuous,0.0,,0.25;0.5;0.75;1.0,0.25,0.1,32,-0.05,-0.05
True,True,True,True,,,OVERALL,,CLAIM_C not recomputed here,,0.25,0.1,32,-0.05,-0.05
